@relation relationship
@attribute Att1 numeric
@attribute Att2 numeric
@attribute Att3 numeric
@attribute Att4 numeric
@attribute Att5 numeric
@attribute Att6 numeric
@attribute Att7 numeric
@attribute Att8 numeric
@attribute Att9 numeric
@attribute Att10 numeric
@attribute Att11 numeric
@attribute Att12 numeric
@attribute Att13 numeric
@attribute Att14 numeric
@attribute Att15 numeric
@attribute Att16 numeric
@attribute Att17 numeric
@attribute Att18 numeric
@attribute Att19 numeric
@attribute Att20 numeric
@attribute Att21 numeric
@attribute Att22 numeric
@attribute Att23 numeric
@attribute Att24 numeric
@attribute Att25 numeric
@attribute Att26 numeric
@attribute Att27 numeric
@attribute Att28 numeric
@attribute Att29 numeric
@attribute Att30 numeric
@attribute Att31 numeric
@attribute Att32 numeric
@attribute Att33 numeric
@attribute Att34 numeric
@attribute Att35 numeric
@attribute Att36 numeric
@attribute Att37 numeric
@attribute Att38 numeric
@attribute Att39 numeric
@attribute Att40 numeric
@attribute Att41 numeric
@attribute Att42 numeric
@attribute Att43 numeric
@attribute Att44 numeric
@attribute Att45 numeric
@attribute Att46 numeric
@attribute Att47 numeric
@attribute Att48 numeric
@attribute Att49 numeric
@attribute Att50 numeric
@attribute Att51 numeric
@attribute Att52 numeric
@attribute Att53 numeric
@attribute Att54 numeric
@attribute Att55 numeric
@attribute Att56 numeric
@attribute Att57 numeric
@attribute Att58 numeric
@attribute Att59 numeric
@attribute Att60 numeric
@attribute Att61 numeric
@attribute Att62 numeric
@attribute Att63 numeric
@attribute Att64 numeric
@attribute Att65 numeric
@attribute Att66 numeric
@attribute Att67 numeric
@attribute Att68 numeric
@attribute Att69 numeric
@attribute Att70 numeric
@attribute Att71 numeric
@attribute Att72 numeric
@attribute Att73 numeric
@attribute Att74 numeric
@attribute Att75 numeric
@attribute Att76 numeric
@attribute Att77 numeric
@attribute Att78 numeric
@attribute Att79 numeric
@attribute Att80 numeric
@attribute Att81 numeric
@attribute Att82 numeric
@attribute Att83 numeric
@attribute Att84 numeric
@attribute Att85 numeric
@attribute Att86 numeric
@attribute Att87 numeric
@attribute Att88 numeric
@attribute Att89 numeric
@attribute Att90 numeric
@attribute Att91 numeric
@attribute Att92 numeric
@attribute Att93 numeric
@attribute Att94 numeric
@attribute Att95 numeric
@attribute Att96 numeric
@attribute Att97 numeric
@attribute Att98 numeric
@attribute Att99 numeric
@attribute Att100 numeric
@attribute Att101 numeric
@attribute Att102 numeric
@attribute Att103 numeric
@attribute Att104 numeric
@attribute Att105 numeric
@attribute Att106 numeric
@attribute Att107 numeric
@attribute Att108 numeric
@attribute Att109 numeric
@attribute Att110 numeric
@attribute Att111 numeric
@attribute Att112 numeric
@attribute Att113 numeric
@attribute Att114 numeric
@attribute Att115 numeric
@attribute Att116 numeric
@attribute Att117 numeric
@attribute Att118 numeric
@attribute Att119 numeric
@attribute Att120 numeric
@attribute Att121 numeric
@attribute Att122 numeric
@attribute Att123 numeric
@attribute Att124 numeric
@attribute Att125 numeric
@attribute Att126 numeric
@attribute Att127 numeric
@attribute Att128 numeric
@attribute Att129 numeric
@attribute Att130 numeric
@attribute Att131 numeric
@attribute Att132 numeric
@attribute Att133 numeric
@attribute Att134 numeric
@attribute Att135 numeric
@attribute Att136 numeric
@attribute Att137 numeric
@attribute Att138 numeric
@attribute Att139 numeric
@attribute Att140 numeric
@attribute Att141 numeric
@attribute Att142 numeric
@attribute Att143 numeric
@attribute Att144 numeric
@attribute Att145 numeric
@attribute Att146 numeric
@attribute Att147 numeric
@attribute Att148 numeric
@attribute Att149 numeric
@attribute Att150 numeric
@attribute Att151 numeric
@attribute Att152 numeric
@attribute Att153 numeric
@attribute Att154 numeric
@attribute Att155 numeric
@attribute Att156 numeric
@attribute Att157 numeric
@attribute Att158 numeric
@attribute Att159 numeric
@attribute Att160 numeric
@attribute Att161 numeric
@attribute Att162 numeric
@attribute Att163 numeric
@attribute Att164 numeric
@attribute Att165 numeric
@attribute Att166 numeric
@attribute Att167 numeric
@attribute Att168 numeric
@attribute Att169 numeric
@attribute Att170 numeric
@attribute Att171 numeric
@attribute Att172 numeric
@attribute Att173 numeric
@attribute Att174 numeric
@attribute Att175 numeric
@attribute Att176 numeric
@attribute Att177 numeric
@attribute Att178 numeric
@attribute Att179 numeric
@attribute Att180 numeric
@attribute Att181 numeric
@attribute Att182 numeric
@attribute Att183 numeric
@attribute Att184 numeric
@attribute Att185 numeric
@attribute Att186 numeric
@attribute Att187 numeric
@attribute Att188 numeric
@attribute Att189 numeric
@attribute Att190 numeric
@attribute Att191 numeric
@attribute Att192 numeric
@attribute Att193 numeric
@attribute Att194 numeric
@attribute Att195 numeric
@attribute Att196 numeric
@attribute Att197 numeric
@attribute Att198 numeric
@attribute Att199 numeric
@attribute Att200 numeric
@attribute Att201 numeric
@attribute Att202 numeric
@attribute Att203 numeric
@attribute Att204 numeric
@attribute Att205 numeric
@attribute Att206 numeric
@attribute Att207 numeric
@attribute Att208 numeric
@attribute Att209 numeric
@attribute Att210 numeric
@attribute Att211 numeric
@attribute Att212 numeric
@attribute Att213 numeric
@attribute Att214 numeric
@attribute Att215 numeric
@attribute Att216 numeric
@attribute Att217 numeric
@attribute Att218 numeric
@attribute Att219 numeric
@attribute Att220 numeric
@attribute Att221 numeric
@attribute Att222 numeric
@attribute Att223 numeric
@attribute Att224 numeric
@attribute Att225 numeric
@attribute Att226 numeric
@attribute Att227 numeric
@attribute Att228 numeric
@attribute Att229 numeric
@attribute Att230 numeric
@attribute Att231 numeric
@attribute Att232 numeric
@attribute Att233 numeric
@attribute Att234 numeric
@attribute Att235 numeric
@attribute Att236 numeric
@attribute Att237 numeric
@attribute Att238 numeric
@attribute Att239 numeric
@attribute Att240 numeric
@attribute Att241 numeric
@attribute Att242 numeric
@attribute Att243 numeric
@attribute Att244 numeric
@attribute Att245 numeric
@attribute Att246 numeric
@attribute Att247 numeric
@attribute Att248 numeric
@attribute Att249 numeric
@attribute Att250 numeric
@attribute Att251 numeric
@attribute Att252 numeric
@attribute Att253 numeric
@attribute Att254 numeric
@attribute Att255 numeric
@attribute Att256 numeric
@attribute class {0,1}
@data

1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.897579,-1.0,-1.0,1.0,0.28176,0.999999,1.0,-0.995865,-1.0,0.63514,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.985566,-1.0,1.0,0.514955,0.999982,0.960779,1.0,1.0,1.0,-1.0,1.0,0.999943,1.0,1.0,-1.0,0.999528,1.0,-0.999973,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.999964,1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.999941,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.999977,1.0,1.0,1.0,0.999999,-0.997258,-1.0,0.999408,1.0,0.999778,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-0.415087,1.0,1.0,-1.0,1.0,0.999913,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.954788,1.0,1.0,-1.0,0.999689,0.99248,1.0,-0.999942,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.988917,1.0,1.0,1.0,-1.0,1.0,0.999987,1.0,-1.0,1.0,-1.0,0.994493,-1.0,-1.0,1.0,-0.999981,1.0,-1.0,0.999711,1.0,-1.0,1.0,0.723951,1.0,-0.999989,-1.0,-1.0,1.0,0.993973,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.260391,0.999677,-0.964568,-0.99999,1.0,0.993693,-1.0,-1.0,1.0,1.0,1.0,-1.0,-0.993097,-1.0,0.954465,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.999613,0.99856,0.997367,-1.0,-1.0,-1.0,-1.0,-0.943795,-1.0,-1.0,1.0,-0.996344,-0.999956,1.0,1.0,1.0,1.0,-0.997908,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.997862,1.0,-1.0,-1.0,1.0,-1.0,0.999996,-1.0,1.0,1.0,1.0,-0.999998,1.0,1.0,0.372034,1.0,0.999245,1.0,1.0,-1.0,-0.998411,-1.0,1.0,-0.971374,1.0,0.960032,0.753897,-1.0,1.0,-0.993559,1
1.0,1.0,-1.0,-0.999999,-1.0,-1.0,1.0,-0.931666,0.980382,1.0,1.0,0.999994,1.0,1.0,1.0,0.998353,-0.999029,1.0,1.0,-1.0,1.0,-0.999999,1.0,-1.0,1.0,-0.530171,1.0,-1.0,1.0,1.0,0.999978,-1.0,1.0,-0.277257,1.0,1.0,-1.0,-1.0,1.0,-0.999995,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.999999,1.0,-0.999997,-1.0,1.0,0.999977,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.999036,1.0,0.718439,0.999982,1.0,1.0,1.0,-0.999997,-1.0,-1.0,0.840615,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.999955,-0.999993,1.0,0.999999,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.999998,0.898267,1.0,-1.0,-1.0,-1.0,-1.0,0.999999,-1.0,-1.0,1.0,-1.0,-1.0,0.999244,-0.991778,1.0,-1.0,-0.852986,1.0,1.0,-0.849153,1.0,0.925382,1.0,-1.0,0.781299,1.0,-1.0,1.0,0.478252,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.772086,-0.998177,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.999994,0.999933,1.0,0.999993,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-0.999887,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.810789,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.999278,-1.0,1.0,1.0,1.0,1.0,1.0,-0.997176,0.999999,1.0,-0.773644,1.0,1.0,-1.0,-0.95063,-1.0,0.999996,1.0,1.0,0.999853,-1.0,-0.999802,1.0,-1.0,1
0.99997,1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.999995,-0.934676,1.0,1.0,-1.0,1.0,-0.938475,-0.688554,-0.999995,-0.999952,1.0,1.0,-1.0,1.0,-0.999985,1.0,-1.0,-1.0,1.0,1.0,0.803107,0.999995,1.0,-1.0,-1.0,1.0,-0.999937,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.999942,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.996326,-1.0,0.999705,1.0,-1.0,0.990333,1.0,-1.0,-1.0,1.0,1.0,1.0,0.910015,-1.0,0.981944,1.0,1.0,-1.0,1.0,1.0,0.999971,-1.0,0.997472,-1.0,1.0,0.999997,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.999994,1.0,-1.0,1.0,-1.0,-0.998943,1.0,0.99943,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-0.989024,1.0,0.999619,1.0,1.0,0.999997,-0.803436,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.999997,1.0,-0.83433,1.0,-1.0,-0.999644,0.999999,1.0,0.999997,1.0,0.867236,0.999994,-1.0,-0.978562,1.0,1.0,1.0,-1.0,-0.776185,1.0,-1.0,0.99958,0.999973,1.0,-0.980161,-1.0,-1.0,0.999858,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.723973,-0.999957,1.0,-1.0,1.0,-1.0,-0.995254,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-0.91442,-0.998153,1.0,-1.0,1.0,0.999395,0.866397,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.341773,-1.0,-1.0,0.9996,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.999996,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.963609,1.0,-1.0,0.823623,1.0,-0.999859,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.999786,0.99992,1.0,0.871655,1.0,-0.999382,-1.0,-0.999998,-1.0,1.0,1.0,0.999674,-0.999916,-1.0,0.999997,1.0,-0.999832,1
1.0,1.0,-1.0,-0.999928,-1.0,-1.0,1.0,-0.999993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999981,1.0,1.0,-1.0,1.0,-0.99973,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.978586,-1.0,1.0,0.8695,1.0,1.0,0.979818,-1.0,1.0,0.284487,0.999994,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.999935,1.0,0.689551,-1.0,1.0,0.999933,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.999997,1.0,-1.0,-0.944614,1.0,0.999997,0.99997,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.432233,0.0845867,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.951867,1.0,-0.996741,-1.0,0.999987,-1.0,1.0,1.0,-1.0,1.0,-0.988099,-0.999831,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.999987,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.722482,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.999416,1.0,1.0,1.0,-1.0,-0.99995,1.0,-1.0,1.0,1.0,-1.0,0.999988,-1.0,1.0,0.99999,1.0,1.0,-1.0,0.666203,1.0,1.0,0.999997,0.999999,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.999939,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.368413,-1.0,-1.0,0.996489,1.0,-1.0,1.0,1.0,-0.996498,1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.982043,-1.0,0.999776,1.0,-1.0,-1.0,1.0,-1.0,-0.999186,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.999706,-0.998944,0.999999,-1.0,1.0,1.0,1.0,1.0,-1.0,-0.998489,1.0,-0.999999,1
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.999066,0.999967,-1.0,1.0,0.997056,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.998672,-0.999755,1.0,1.0,0.999932,-1.0,0.907729,1.0,1.0,1.0,0.999995,-1.0,1.0,-0.641995,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.975792,-1.0,1.0,-1.0,-1.0,-0.999983,0.992947,1.0,1.0,-1.0,-1.0,0.954803,-1.0,-0.466176,0.738335,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-0.885077,0.999984,1.0,-0.999305,0.999943,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.998307,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.997564,1.0,1.0,1.0,-1.0,1.0,0.999762,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.999942,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.992591,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-0.940981,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.999996,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0859243,-1.0,-1.0,1.0,-0.99999,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.999999,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.999926,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.372649,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.985768,1.0,-1.0,1.0,0.512965,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.855625,1.0,-1.0,-0.998514,-1.0,1.0,1.0,1.0,0.999994,1.0,1.0,1.0,1.0,0.60414,1.0,1.0,-0.997015,-1.0,-1.0,0.527683,-0.999676,1.0,0.706802,-0.999951,-1.0,1.0,1.0,1
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.987332,-0.999997,-1.0,1.0,-0.358887,-1.0,1.0,0.371944,1.0,-1.0,1.0,1.0,-0.999934,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.999974,-1.0,-1.0,-1.0,1.0,0.998325,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.938717,-1.0,-0.889405,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.999995,1.0,1.0,-1.0,-0.999791,1.0,1.0,0.446846,1.0,1.0,1.0,0.999278,-1.0,-1.0,0.707448,1.0,0.999998,1.0,-0.99479,1.0,1.0,-1.0,1.0,0.99608,-1.0,1.0,1.0,0.999988,1.0,-0.999983,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-0.999432,1.0,-1.0,-0.998781,0.999999,1.0,-1.0,-1.0,-1.0,-1.0,0.525404,-1.0,-1.0,0.998837,-1.0,-1.0,0.999943,1.0,1.0,-1.0,-0.999996,-0.998002,1.0,-1.0,1.0,-0.998709,1.0,-1.0,1.0,1.0,-0.999113,1.0,0.639917,-1.0,1.0,-0.999351,1.0,1.0,1.0,-0.999999,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.990855,-1.0,1.0,-1.0,-1.0,-0.986764,-1.0,1.0,-1.0,-1.0,0.999984,1.0,1.0,0.945322,1.0,-1.0,1.0,-0.999999,0.354533,1.0,-0.999746,-1.0,-1.0,1.0,1.0,-0.903292,-1.0,1.0,0.442693,-0.93279,0.992754,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.99999,-1.0,1.0,-0.0491477,-0.999999,1.0,-0.995943,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.981127,-1.0,1.0,-0.999986,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.999983,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999989,1.0,0.999981,1.0,1.0,-0.00109005,-1.0,-1.0,1.0,1.0,1.0,0.977343,-0.996186,-1.0,1.0,-0.990185,1
1.0,1.0,-1.0,-0.366811,-1.0,-1.0,-0.980683,-1.0,-1.0,1.0,1.0,0.56726,1.0,-0.999998,-1.0,-0.999742,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.0685251,1.0,1.0,0.999995,-1.0,0.999886,0.999941,1.0,1.0,-1.0,-1.0,1.0,0.999998,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-0.98784,-1.0,-0.999999,-0.315792,-0.941427,0.999746,-1.0,-1.0,1.0,-1.0,0.999999,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-0.999591,1.0,-0.999999,1.0,1.0,1.0,0.176474,1.0,-0.999985,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.998161,-0.999996,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.999997,0.790716,1.0,1.0,1.0,1.0,-0.999988,-1.0,1.0,1.0,1.0,-1.0,-0.999788,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.999997,1.0,-1.0,-0.999992,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.990182,1.0,-1.0,1.0,1.0,1.0,0.999996,-1.0,-1.0,0.803996,-0.999998,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.9855,-1.0,0.999998,0.999739,-0.996266,1.0,1.0,0.999962,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.829301,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.982971,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.96478,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.769583,-1.0,1.0,-0.702717,1.0,0.999984,-1.0,1.0,-0.61437,1.0,-1.0,-1.0,-1.0,1.0,0.999997,-1.0,-1.0,1.0,-1.0,-0.990426,-1.0,1.0,1.0,1.0,0.956663,1.0,1.0,1.0,1.0,1.0,0.999999,1.0,-1.0,-0.999986,-1.0,0.999998,-0.999315,1.0,0.998431,0.953457,-0.998278,1.0,0.999841,1
1.0,1.0,-1.0,-0.998352,-1.0,-1.0,0.99999,-1.0,-1.0,1.0,1.0,-1.0,1.0,-0.944127,-1.0,0.999992,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.986682,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.786446,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.999998,1.0,0.96012,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-0.999985,-1.0,-1.0,1.0,-0.988583,-1.0,-1.0,-1.0,0.99998,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.92281,-1.0,1.0,1.0,0.999996,-1.0,1.0,1.0,-0.999996,-1.0,1.0,-1.0,0.984099,1.0,1.0,1.0,0.674368,1.0,1.0,-1.0,1.0,0.999986,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.853094,1.0,1.0,1.0,-0.999999,-0.999998,1.0,0.927288,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.978641,0.998019,1.0,-1.0,1.0,-0.999756,0.999999,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.999999,1.0,-1.0,0.991746,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-0.999999,1.0,-1.0,0.99994,-0.999999,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.999705,1.0,-1.0,-1.0,-1.0,-0.999885,-1.0,-1.0,1.0,-1.0,-1.0,0.999995,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-0.999569,-1.0,1.0,-1.0,1.0,-0.900545,-1.0,-1.0,1.0,1.0,0.841819,-1.0,-1.0,-1.0,1.0,-0.999998,1.0,-1.0,0.994143,-1.0,0.481653,-1.0,1.0,-0.999999,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-0.997683,-0.925367,-1.0,1.0,1.0,1.0,-0.985677,0.995554,1.0,-0.847127,1.0,1.0,1.0,1.0,-1.0,0.999995,-1.0,1.0,1.0,1.0,-0.999998,-0.999536,1.0,0.999998,-0.99532,1
1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.849312,-1.0,1.0,1.0,-0.999609,1.0,0.466774,-0.941461,0.947893,0.957349,1.0,1.0,-1.0,1.0,0.999941,1.0,-1.0,1.0,0.999998,-0.999936,0.952744,1.0,0.999995,-0.995818,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.997906,1.0,-0.999988,-1.0,-0.999465,1.0,1.0,0.869907,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-0.999998,-1.0,-0.9935,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-0.528707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-0.999862,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.989692,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.999997,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.962375,0.999874,1.0,-0.236329,-0.999725,1.0,0.999988,1.0,-0.999999,-0.999909,1.0,-1.0,1.0,-0.573594,1.0,-0.974435,-1.0,-1.0,-0.997269,-1.0,-0.997537,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-0.999998,-1.0,-0.998639,1.0,-0.750768,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.961817,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.996087,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.999996,-1.0,1.0,1.0,1.0,0.999997,1.0,1.0,-1.0,1.0,0.17116,1.0,1.0,-1.0,0.999873,-1.0,1.0,1.0,1.0,-0.949299,0.997462,1.0,0.999965,-1.0,1
